idx,text,label,style,scenario_type,has_codeword,codeword,text_masked,vessel,call_sign,mmsi,location,weather,pob,nature,injury
831,"This is the vessel Ocean Explorer, call sign ABC123, currently positioned at 37 degrees 12.5 minutes North, 122 degrees 15.8 minutes West. We report a significant navigational hazard in our vicinity, resembling a submerged object, possibly a container, creating an immediate risk to shipping traffic. The sea state is moderate, with a slight swell and visibility around five nautical miles. There are ten persons on board, all accounted for and in good health. We advise all vessels to exercise extreme caution in this area and maintain a safe distance. Requesting acknowledgment of this message.",Distress,formal,nav_hazard,False,NONE,"This is the vessel Ocean Explorer, call sign ABC123, currently positioned at 37 degrees 12.5 minutes North, 122 degrees 15.8 minutes West. We report a significant navigational hazard in our vicinity, resembling a submerged object, possibly a container, creating an immediate risk to shipping traffic. The sea state is moderate, with a slight swell and visibility around five nautical miles. There are ten persons on board, all accounted for and in good health. We advise all vessels to exercise extreme caution in this area and maintain a safe distance. Requesting acknowledgment of this message.",Ocean Explorer,ABC123,123456789,"37 degrees 12.5 minutes North, 122 degrees 15.8 minutes West","Moderate seas, slight swell, visibility five nautical miles",10,"Navigational hazard, submerged object reported",None
832,"This is a relay from the fishing vessel Ocean Explorer, currently at position 37° 45.2' N, 122° 30.8' W. They report a medical issue on board involving a crew member who has sustained a severe laceration to the arm. They are NOT in distress but require assistance to reach a port for further evaluation. Weather conditions are clear with a light breeze. There are 5 persons on board. Over.",Urgency,third_party,medical_issue,False,NONE,"This is a relay from the fishing vessel Ocean Explorer, currently at position 37° 45.2' N, 122° 30.8' W. They report a medical issue on board involving a crew member who has sustained a severe laceration to the arm. They are NOT in distress but require assistance to reach a port for further evaluation. Weather conditions are clear with a light breeze. There are 5 persons on board. Over.",Ocean Explorer,,,"37° 45.2' N, 122° 30.8' W",clear with a light breeze,5,medical issue,severe laceration to the arm
833,"This is the vessel Ocean Guardian, call sign ABCD123, currently located at position 34°02.5'N, 119°18.3'W. We are conducting a water ingress drill. During this exercise, we simulated an unexpected breach in the hull. All crew members are accounted for, and we are actively managing the inflow of water. Weather conditions are clear with a light breeze from the southeast. No injuries reported. We will continue to monitor the situation and keep you updated.",Safety,formal,water_ingress,False,NONE,"This is the vessel Ocean Guardian, call sign ABCD123, currently located at position 34°02.5'N, 119°18.3'W. We are conducting a water ingress drill. During this exercise, we simulated an unexpected breach in the hull. All crew members are accounted for, and we are actively managing the inflow of water. Weather conditions are clear with a light breeze from the southeast. No injuries reported. We will continue to monitor the situation and keep you updated.",Ocean Guardian,ABCD123,123456789,"34°02.5'N, 119°18.3'W",clear with a light breeze from the southeast,10,simulated water ingress drill,none
834,"This is a relay from the cargo vessel Ocean Trader, call sign ABC123. They are experiencing a severe cargo shift and report listing excessively. Their last known position is 42 degrees 30 minutes North, 70 degrees 15 minutes West. The vessel has declared a MAYDAY and is requesting immediate assistance. Weather conditions are rough with 4-meter swells and 30-knot winds. There are 15 individuals on board and no reported injuries at this time. They are currently adrift and unable to stabilize. Repeat, assistance is urgently needed.",Distress,third_party,cargo_shift,True,MAYDAY,"This is a relay from the cargo vessel Ocean Trader, call sign ABC123. They are experiencing a severe cargo shift and report listing excessively. Their last known position is 42 degrees 30 minutes North, 70 degrees 15 minutes West. The vessel has declared a [SIGNAL] and is requesting immediate assistance. Weather conditions are rough with 4-meter swells and 30-knot winds. There are 15 individuals on board and no reported injuries at this time. They are currently adrift and unable to stabilize. Repeat, assistance is urgently needed.",Ocean Trader,ABC123,null,"42 degrees 30 minutes North, 70 degrees 15 minutes West",rough with 4-meter swells and 30-knot winds,15,cargo shift,none
835,"Uh, this is the fishing trawler, Lady Luck, calling anyone out there. We just had a, um, collision with a sailboat, I think it’s called the Wind Dancer. We’re at about, uh, 34 degrees north, 72 degrees west, I mean it’s pretty foggy here, can barely see. No injuries reported on our side, but, um, the sailboat looks a bit worse for wear. Just wanted to, you know, get the word out in case they need help. Over.",Urgency,informal,collision,False,NONE,"Uh, this is the fishing trawler, Lady Luck, calling anyone out there. We just had a, um, collision with a sailboat, I think it’s called the Wind Dancer. We’re at about, uh, 34 degrees north, 72 degrees west, I mean it’s pretty foggy here, can barely see. No injuries reported on our side, but, um, the sailboat looks a bit worse for wear. Just wanted to, you know, get the word out in case they need help. Over.",Lady Luck,null,null,"34 degrees north, 72 degrees west",foggy,5,collision,none
836,"This is the fishing vessel Ocean Voyager, call sign ABC123, MMSI 123456789. We are currently at position 34 degrees 32 minutes North, 120 degrees 15 minutes West. We wish to report an engine failure. The weather conditions are calm with a light breeze, and there are no injuries on board. We are conducting drift patterns and awaiting assistance. Over.",Routine,formal,engine_failure,False,NONE,"This is the fishing vessel Ocean Voyager, call sign ABC123, MMSI 123456789. We are currently at position 34 degrees 32 minutes North, 120 degrees 15 minutes West. We wish to report an engine failure. The weather conditions are calm with a light breeze, and there are no injuries on board. We are conducting drift patterns and awaiting assistance. Over.",Ocean Voyager,ABC123,123456789,"34 degrees 32 minutes North, 120 degrees 15 minutes West",calm with a light breeze,5,engine failure,none
837,"Hey, this is the cargo ship Sea Explorer, um, we’ve got a bit of a situation here. We’re at 34.5 North, 75.3 West, and, uh, some of our cargo has shifted, like, seriously. It’s tilting us to starboard and, uh, we might need some help. We have 12 people on board, and the weather’s kinda rough, too, I think gusts of about 25 knots. Just letting you know, okay? Over. 

Oh, and, um, we’ve stabilized things for now. The cargo’s, uh, settled a bit, and we’re not in immediate danger anymore. We’ll keep monitoring the situation. Sea Explorer out.",Distress,informal,cargo_shift,False,NONE,"Hey, this is the cargo ship Sea Explorer, um, we’ve got a bit of a situation here. We’re at 34.5 North, 75.3 West, and, uh, some of our cargo has shifted, like, seriously. It’s tilting us to starboard and, uh, we might need some help. We have 12 people on board, and the weather’s kinda rough, too, I think gusts of about 25 knots. Just letting you know, okay? Over. 

Oh, and, um, we’ve stabilized things for now. The cargo’s, uh, settled a bit, and we’re not in immediate danger anymore. We’ll keep monitoring the situation. Sea Explorer out.",Sea Explorer,null,null,"34.5 North, 75.3 West","25 knots gusts, rough",12,cargo shift,null
838,"PAN PAN, PAN PAN, this is the M/V Ocean Explorer, call sign ABC123, MMSI 123456789. We are currently at position 34 degrees 12 minutes North, 76 degrees 45 minutes West. We are experiencing a steering failure and are unable to maintain course. Wind conditions are calm at 5 knots, with a clear sky. All systems are functioning normally, and there is no immediate danger. However, we require assistance to regain control. There are 12 persons on board. Requesting guidance on the next steps. Over.",Urgency,formal,steering_failure,True,PAN PAN,"[SIGNAL], [SIGNAL], this is the M/V Ocean Explorer, call sign ABC123, MMSI 123456789. We are currently at position 34 degrees 12 minutes North, 76 degrees 45 minutes West. We are experiencing a steering failure and are unable to maintain course. Wind conditions are calm at 5 knots, with a clear sky. All systems are functioning normally, and there is no immediate danger. However, we require assistance to regain control. There are 12 persons on board. Requesting guidance on the next steps. Over.",M/V Ocean Explorer,ABC123,123456789,"34 degrees 12 minutes North, 76 degrees 45 minutes West","calm at 5 knots, clear sky",12,steering failure,
839,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Explorer, call sign ABC123, MMSI 123456789. We are currently located at latitude 34 degrees 12 minutes north, longitude 119 degrees 45 minutes west. We report a medical issue on board involving one crew member who has sustained a severe laceration to the forearm. Weather conditions are clear with light winds from the southeast. There are 8 persons on board. Requesting advice on further medical assistance. Over.",Safety,formal,medical_issue,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Explorer, call sign ABC123, MMSI 123456789. We are currently located at latitude 34 degrees 12 minutes north, longitude 119 degrees 45 minutes west. We report a medical issue on board involving one crew member who has sustained a severe laceration to the forearm. Weather conditions are clear with light winds from the southeast. There are 8 persons on board. Requesting advice on further medical assistance. Over.",Ocean Explorer,ABC123,123456789,"latitude 34 degrees 12 minutes north, longitude 119 degrees 45 minutes west",clear with light winds from the southeast,8,medical issue,severe laceration to the forearm
840,"MAYDAY, MAYDAY, MAYDAY. This is the fishing vessel Ocean Explorer, call sign AB1234, MMSI 123456789. We are grounded on a rocky shoal at position 35 degrees 12.5 minutes North, 75 degrees 45.8 minutes West. The weather is clear but the tide is falling rapidly, threatening to damage our hull. There are six persons on board, and we have sustained minor flooding in the engine room. I repeat, we are in need of immediate assistance. Over.",Distress,formal,grounding,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Explorer, call sign AB1234, MMSI 123456789. We are grounded on a rocky shoal at position 35 degrees 12.5 minutes North, 75 degrees 45.8 minutes West. The weather is clear but the tide is falling rapidly, threatening to damage our hull. There are six persons on board, and we have sustained minor flooding in the engine room. I repeat, we are in need of immediate assistance. Over.",Ocean Explorer,AB1234,123456789,"35 degrees 12.5 minutes North, 75 degrees 45.8 minutes West","clear, falling tide",6,grounding,minor flooding in the engine room
841,"This is the fishing vessel Ocean Hunter, call sign WXYZ123, requesting assistance. We are currently positioned at latitude 34 degrees 20 minutes North and longitude 120 degrees 15 minutes West. We have encountered engine failure and are adrift. The weather conditions are moderate, with a 10-knot wind and 2-meter swells. There are 5 persons on board, all safe, but we require a tow to the nearest port. Please advise on your ability to assist. Over.",Routine,formal,tow_request,False,NONE,"This is the fishing vessel Ocean Hunter, call sign WXYZ123, requesting assistance. We are currently positioned at latitude 34 degrees 20 minutes North and longitude 120 degrees 15 minutes West. We have encountered engine failure and are adrift. The weather conditions are moderate, with a 10-knot wind and 2-meter swells. There are 5 persons on board, all safe, but we require a tow to the nearest port. Please advise on your ability to assist. Over.",Ocean Hunter,WXYZ123,123456789,34°20'N 120°15'W,"Moderate winds at 10 knots, 2-meter swells",5,"Engine failure, adrift",None
842,"SECURITE, SECURITE, this is the fishing vessel Ocean Catch, call sign ABC123, over. We’re currently at 34 degrees 20 minutes North, 76 degrees 15 minutes West, not in distress, but uh, having a bit of engine trouble. So, like, we're looking for a tow back to the marina. Weather's decent, just a light swell. There’s five of us on board. If anyone’s nearby, can you assist? Over.",Safety,informal,tow_request,True,SECURITE,"[SIGNAL], [SIGNAL], this is the fishing vessel Ocean Catch, call sign ABC123, over. We’re currently at 34 degrees 20 minutes North, 76 degrees 15 minutes West, not in distress, but uh, having a bit of engine trouble. So, like, we're looking for a tow back to the marina. Weather's decent, just a light swell. There’s five of us on board. If anyone’s nearby, can you assist? Over.",Ocean Catch,ABC123,,"34 degrees 20 minutes North, 76 degrees 15 minutes West",light swell,5,engine trouble,
843,"This is the cargo vessel Ocean Spirit, calling all stations. We are currently positioned at latitude 34 degrees 12 minutes north and longitude 118 degrees 24 minutes west. We are experiencing a significant cargo shift due to rough seas, and our stability is compromised. The current weather conditions are characterized by strong winds reaching 30 knots and swells of up to 4 meters. We request assistance in evaluating our situation. We have 20 persons on board, and there are no reported injuries at this time. Over.",Urgency,formal,cargo_shift,False,NONE,"This is the cargo vessel Ocean Spirit, calling all stations. We are currently positioned at latitude 34 degrees 12 minutes north and longitude 118 degrees 24 minutes west. We are experiencing a significant cargo shift due to rough seas, and our stability is compromised. The current weather conditions are characterized by strong winds reaching 30 knots and swells of up to 4 meters. We request assistance in evaluating our situation. We have 20 persons on board, and there are no reported injuries at this time. Over.",Ocean Spirit,OCEAN 1,123456789,34°12'N 118°24'W,"Strong winds 30 knots, swells 4 meters",20,cargo shift,none
844,"SECURITE, SECURITE, this is the MV Ocean Breeze, uh, calling all stations. Just, uh, wanted to report a, um, collision incident. We're currently, like, 10 miles off the coast of Cape May, around, um, 38 degrees 56 minutes North, 74 degrees 57 minutes West. Weather is, uh, clear but, like, a bit choppy, you know? No fire, just some, um, minor damage to the hull. We have 12 people on board, all, uh, accounted for, but, like, we're just kinda shaken up here. Just, uh, keeping everyone safe and, uh, monitoring the situation. Over.",Safety,informal,collision,True,SECURITE,"[SIGNAL], [SIGNAL], this is the MV Ocean Breeze, uh, calling all stations. Just, uh, wanted to report a, um, collision incident. We're currently, like, 10 miles off the coast of Cape May, around, um, 38 degrees 56 minutes North, 74 degrees 57 minutes West. Weather is, uh, clear but, like, a bit choppy, you know? No fire, just some, um, minor damage to the hull. We have 12 people on board, all, uh, accounted for, but, like, we're just kinda shaken up here. Just, uh, keeping everyone safe and, uh, monitoring the situation. Over.",MV Ocean Breeze,N/A,N/A,38°56'N 74°57'W,clear but choppy,12,collision,none
845,"SECURITE, SECURITE, this is the Fishing Trawler 'Ocean Hunter', call sign ABC123, over. We're currently at 47 degrees, 12 minutes North, 122 degrees, 45 minutes West. Uh, we have a medical issue on board. One of our crew, uh, John, he's... not feeling too great, possible allergic reaction to something he ate. Weather is calm, just a bit of swell, nothing too crazy. We've got six people on board. Uh, need advice, like what to do next. Over.",Safety,informal,medical_issue,True,SECURITE,"[SIGNAL], [SIGNAL], this is the Fishing Trawler 'Ocean Hunter', call sign ABC123, over. We're currently at 47 degrees, 12 minutes North, 122 degrees, 45 minutes West. Uh, we have a medical issue on board. One of our crew, uh, John, he's... not feeling too great, possible allergic reaction to something he ate. Weather is calm, just a bit of swell, nothing too crazy. We've got six people on board. Uh, need advice, like what to do next. Over.",Ocean Hunter,ABC123,,"47 degrees, 12 minutes North, 122 degrees, 45 minutes West","calm, a bit of swell",6,medical issue,possible allergic reaction
846,"SECURITE, SECURITE, this is the fishing vessel Ocean Breeze, call sign WXYZ123, over. We are currently at 45.32 North, 66.78 West, uh, experiencing a fire in the galley. Lots of smoke, like, really thick smoke. We're trying to contain it but, um, need assistance. Weather’s calm, just a light breeze, but visibility is low now. There are, uh, five of us on board. No injuries reported yet, just, uh, some panic. Please advise, over.",Safety,informal,fire_smoke,True,SECURITE,"[SIGNAL], [SIGNAL], this is the fishing vessel Ocean Breeze, call sign WXYZ123, over. We are currently at 45.32 North, 66.78 West, uh, experiencing a fire in the galley. Lots of smoke, like, really thick smoke. We're trying to contain it but, um, need assistance. Weather’s calm, just a light breeze, but visibility is low now. There are, uh, five of us on board. No injuries reported yet, just, uh, some panic. Please advise, over.",Ocean Breeze,WXYZ123,,"45.32 North, 66.78 West","calm, light breeze, low visibility",5,"fire in galley, smoke",no injuries reported
847,"Ahoy there, this is the Sea Breeze, uh, can anyone hear me? Just doing a quick radio check, over. I’m currently, um, about ten miles off Cape Point, and the weather's, like, pretty clear, light winds. Anyone out there, give me a shout if you can, uh, copy this message. That’d be great, thanks! Over.",Routine,informal,radio_check,False,NONE,"Ahoy there, this is the Sea Breeze, uh, can anyone hear me? Just doing a quick radio check, over. I’m currently, um, about ten miles off Cape Point, and the weather's, like, pretty clear, light winds. Anyone out there, give me a shout if you can, uh, copy this message. That’d be great, thanks! Over.",Sea Breeze,SEA1234,123456789,10 miles off Cape Point,"clear, light winds",,,
848,"This is the M/V Ocean Explorer, call sign ABC123, conducting a radio check. Our position is 34 degrees 12 minutes North and 118 degrees 30 minutes West. Current weather conditions are clear with light winds from the southeast. We have 12 persons on board. Please confirm receipt of this message. Over.",Safety,formal,radio_check,False,NONE,"This is the M/V Ocean Explorer, call sign ABC123, conducting a radio check. Our position is 34 degrees 12 minutes North and 118 degrees 30 minutes West. Current weather conditions are clear with light winds from the southeast. We have 12 persons on board. Please confirm receipt of this message. Over.",M/V Ocean Explorer,ABC123,null,34 degrees 12 minutes North and 118 degrees 30 minutes West,clear with light winds from the southeast,12,null,null
849,This is the cargo vessel 'Seaway Trader' relaying a situation on board the fishing vessel 'Ocean Hope'. The 'Ocean Hope' reported a fire in the galley at approximately 20:15 UTC. Their last known position is 34 degrees 27 minutes North by 76 degrees 15 minutes West. Weather conditions are clear with light winds but visibility may be reduced due to smoke. There are 12 persons on board. They are currently attempting to contain the fire and require assistance. Over.,Routine,third_party,fire_smoke,False,NONE,This is the cargo vessel 'Seaway Trader' relaying a situation on board the fishing vessel 'Ocean Hope'. The 'Ocean Hope' reported a fire in the galley at approximately 20:15 UTC. Their last known position is 34 degrees 27 minutes North by 76 degrees 15 minutes West. Weather conditions are clear with light winds but visibility may be reduced due to smoke. There are 12 persons on board. They are currently attempting to contain the fire and require assistance. Over.,Seaway Trader,KJX1234,123456789,34°27'N 76°15'W,"Clear, light winds",12,Fire in galley,
850,"This is the fishing vessel Ocean Explorer, call sign WXYZ123, located at approximately 37 degrees 45.5 minutes North and 122 degrees 25.3 minutes West. We are currently experiencing engine failure and require a tow to the nearest port. Weather conditions are overcast with a light swell and visibility at approximately three miles. There are five persons on board, all safe but unable to navigate. Requesting assistance from any nearby vessel. Please respond to Ocean Explorer, WXYZ123, over.",Routine,formal,tow_request,False,NONE,"This is the fishing vessel Ocean Explorer, call sign WXYZ123, located at approximately 37 degrees 45.5 minutes North and 122 degrees 25.3 minutes West. We are currently experiencing engine failure and require a tow to the nearest port. Weather conditions are overcast with a light swell and visibility at approximately three miles. There are five persons on board, all safe but unable to navigate. Requesting assistance from any nearby vessel. Please respond to Ocean Explorer, WXYZ123, over.",Ocean Explorer,WXYZ123,,37 degrees 45.5 minutes North and 122 degrees 25.3 minutes West,"overcast with light swell, visibility three miles",5,engine failure,
851,"Uh, hey there, this is the fishing vessel Sea Breeze. We’re about, uh, 5 nautical miles east of Cape Point. Our engine, it just kinda, um, failed on us. The boat's drifting, and we’re not really, like, making any progress. Weather's okay, just a little choppy, but we’re all fine here, um, just three of us on board. Can anyone, like, help us out? This is kinda urgent. Over.",Distress,informal,engine_failure,False,NONE,"Uh, hey there, this is the fishing vessel Sea Breeze. We’re about, uh, 5 nautical miles east of Cape Point. Our engine, it just kinda, um, failed on us. The boat's drifting, and we’re not really, like, making any progress. Weather's okay, just a little choppy, but we’re all fine here, um, just three of us on board. Can anyone, like, help us out? This is kinda urgent. Over.",Sea Breeze,null,null,5 nautical miles east of Cape Point,choppy seas,3,engine failure,none
852,"Hey, uh, this is the fishing trawler, uh, Sea Breeze, calling in. We’re, um, we’ve got a bit of a situation here. Steering's kinda gone wacky on us. We’re at about 34 degrees north, 72 degrees west, just off the coast, uh, near Cape Fear. The weather’s, well, it’s a bit choppy, not too bad but definitely not helping. We’re just sort of drifting right now, um, no injuries or anything, just a couple of us on board, five total. Just wanted to give a heads up and see if anyone’s around, you know? Over.",Routine,informal,steering_failure,False,NONE,"Hey, uh, this is the fishing trawler, uh, Sea Breeze, calling in. We’re, um, we’ve got a bit of a situation here. Steering's kinda gone wacky on us. We’re at about 34 degrees north, 72 degrees west, just off the coast, uh, near Cape Fear. The weather’s, well, it’s a bit choppy, not too bad but definitely not helping. We’re just sort of drifting right now, um, no injuries or anything, just a couple of us on board, five total. Just wanted to give a heads up and see if anyone’s around, you know? Over.",Sea Breeze,null,null,"34 degrees north, 72 degrees west",choppy,5,steering failure,none
853,"PAN PAN, PAN PAN, this is MV Ocean Explorer, call sign ABC12345, MMSI 123456789. We are currently at position 37 degrees 45 minutes North, 122 degrees 20 minutes West. We have experienced a collision with MV Sea Eagle, call sign DEF67890, MMSI 987654321. The weather is clear with a slight swell. There are 12 persons on board Ocean Explorer, and no injuries reported at this time. Requesting assistance to assess damage and confirm the safety of all personnel. Over.",Urgency,formal,collision,True,PAN PAN,"[SIGNAL], [SIGNAL], this is MV Ocean Explorer, call sign ABC12345, MMSI 123456789. We are currently at position 37 degrees 45 minutes North, 122 degrees 20 minutes West. We have experienced a collision with MV Sea Eagle, call sign DEF67890, MMSI 987654321. The weather is clear with a slight swell. There are 12 persons on board Ocean Explorer, and no injuries reported at this time. Requesting assistance to assess damage and confirm the safety of all personnel. Over.",MV Ocean Explorer,ABC12345,123456789,"37 degrees 45 minutes North, 122 degrees 20 minutes West",clear with a slight swell,12,collision,no injuries reported
854,"This is the vessel Ocean Explorer, call sign ABC123, MMSI 123456789. We are currently positioned at latitude 34 degrees 12 minutes North, longitude 118 degrees 25 minutes West. Our steering gear has failed, and we are unable to maintain course. We have six persons on board. Weather conditions are overcast with winds at 15 knots and a slight sea state. Requesting guidance on managing this situation safely. Over.",Urgency,formal,steering_failure,False,NONE,"This is the vessel Ocean Explorer, call sign ABC123, MMSI 123456789. We are currently positioned at latitude 34 degrees 12 minutes North, longitude 118 degrees 25 minutes West. Our steering gear has failed, and we are unable to maintain course. We have six persons on board. Weather conditions are overcast with winds at 15 knots and a slight sea state. Requesting guidance on managing this situation safely. Over.",Ocean Explorer,ABC123,123456789,"latitude 34 degrees 12 minutes North, longitude 118 degrees 25 minutes West",overcast with winds at 15 knots and a slight sea state,6,steering gear failure,
855,"This is the M/V Horizon Explorer, call sign ABCD123, conducting a routine radio check. Currently positioned at 34 degrees 15 minutes North, 122 degrees 30 minutes West. Weather is clear with light winds from the northeast. Please confirm receipt of this transmission. Over.",Routine,formal,radio_check,False,NONE,"This is the M/V Horizon Explorer, call sign ABCD123, conducting a routine radio check. Currently positioned at 34 degrees 15 minutes North, 122 degrees 30 minutes West. Weather is clear with light winds from the northeast. Please confirm receipt of this transmission. Over.",M/V Horizon Explorer,ABCD123,123456789,"34 degrees 15 minutes North, 122 degrees 30 minutes West",clear with light winds from the northeast,,,
856,"PAN PAN, PAN PAN, this is MV Ocean Voyager, call sign ABC123, MMSI 123456789. We are currently located at 37 degrees 15 minutes North, 122 degrees 30 minutes West. We are experiencing a significant cargo shift on board due to rough seas. Weather conditions are moderate with swells reaching 2 meters and wind speed at 20 knots from the northwest. We have 15 persons on board and all are accounted for at this time. Requesting assistance and advice on securing the cargo. Over.",Urgency,formal,cargo_shift,True,PAN PAN,"[SIGNAL], [SIGNAL], this is MV Ocean Voyager, call sign ABC123, MMSI 123456789. We are currently located at 37 degrees 15 minutes North, 122 degrees 30 minutes West. We are experiencing a significant cargo shift on board due to rough seas. Weather conditions are moderate with swells reaching 2 meters and wind speed at 20 knots from the northwest. We have 15 persons on board and all are accounted for at this time. Requesting assistance and advice on securing the cargo. Over.",MV Ocean Voyager,ABC123,123456789,"37 degrees 15 minutes North, 122 degrees 30 minutes West","moderate seas, swells 2 meters, wind 20 knots NW",15,cargo shift,none
857,"Uh, this is the cargo ship, uh, Sea Breeze, Sea Breeze calling. Uh, PAN PAN, we've got a, um, cargo shift happening. We’re at, uh, 34 degrees, 12 minutes North, 75 degrees, 30 minutes West. Uh, wind's picking up to about 20 knots and we’re rolling a bit, you know? Uh, we’ve got about, um, 20 souls on board. Uh, just trying to secure the load, but, uh, it’s getting tricky. Can someone, um, assist or, uh, advise on this? Over.",Urgency,informal,cargo_shift,True,PAN PAN,"Uh, this is the cargo ship, uh, Sea Breeze, Sea Breeze calling. Uh, [SIGNAL], we've got a, um, cargo shift happening. We’re at, uh, 34 degrees, 12 minutes North, 75 degrees, 30 minutes West. Uh, wind's picking up to about 20 knots and we’re rolling a bit, you know? Uh, we’ve got about, um, 20 souls on board. Uh, just trying to secure the load, but, uh, it’s getting tricky. Can someone, um, assist or, uh, advise on this? Over.",Sea Breeze,null,null,"34 degrees, 12 minutes North, 75 degrees, 30 minutes West",Wind at 20 knots,20,cargo shift,null
858,"This is the fishing vessel Ocean Explorer, relay from the yacht Sea Breeze. We have a MAYDAY situation. A crew member aboard Sea Breeze is experiencing severe chest pains and requires immediate medical assistance. They are currently located at latitude 34.052 N, longitude 118.243 W, approximately 5 nautical miles off the coast of Santa Monica. Weather conditions are calm, visibility good. The crew member is 38 years old, with no prior medical history reported. We request immediate assistance and advise that last week, we assisted vessel Coral Reef with a similar medical emergency, so we are familiar with the protocol. Over.",Distress,third_party,medical_issue,True,MAYDAY,"This is the fishing vessel Ocean Explorer, relay from the yacht Sea Breeze. We have a [SIGNAL] situation. A crew member aboard Sea Breeze is experiencing severe chest pains and requires immediate medical assistance. They are currently located at latitude 34.052 N, longitude 118.243 W, approximately 5 nautical miles off the coast of Santa Monica. Weather conditions are calm, visibility good. The crew member is 38 years old, with no prior medical history reported. We request immediate assistance and advise that last week, we assisted vessel Coral Reef with a similar medical emergency, so we are familiar with the protocol. Over.",Sea Breeze,null,null,"latitude 34.052 N, longitude 118.243 W","calm, visibility good",null,medical emergency,severe chest pains
859,"This is a relay from the fishing vessel Ocean Quest. They report taking on water due to a hull breach approximately 10 nautical miles east of Cape Point. The vessel is listing to port and has activated their bilge pumps but is experiencing difficulty. Conditions are rough with 3-meter waves and strong winds from the southeast. There are 5 persons on board, and they request assistance as they are unable to control the ingress of water. The crew is unharmed at this time. Please advise any nearby vessels or stations to assist.",Safety,third_party,water_ingress,False,NONE,"This is a relay from the fishing vessel Ocean Quest. They report taking on water due to a hull breach approximately 10 nautical miles east of Cape Point. The vessel is listing to port and has activated their bilge pumps but is experiencing difficulty. Conditions are rough with 3-meter waves and strong winds from the southeast. There are 5 persons on board, and they request assistance as they are unable to control the ingress of water. The crew is unharmed at this time. Please advise any nearby vessels or stations to assist.",Ocean Quest,OCQ1234,123456789,10 nautical miles east of Cape Point,"rough seas, 3-meter waves, southeast winds",5,"hull breach, water ingress",none
860,"This is the vessel MV Ocean Explorer relaying a distress message. The fishing vessel SS Horizon, located at 37 degrees 48 minutes North, 122 degrees 15 minutes West, reports a fire on board. Smoke is billowing from the engine room and they are unable to contain it. All crew members are accounted for, but they are in immediate need of assistance. The weather is calm, with a slight breeze. Over.",Distress,third_party,fire_smoke,False,NONE,"This is the vessel MV Ocean Explorer relaying a distress message. The fishing vessel SS Horizon, located at 37 degrees 48 minutes North, 122 degrees 15 minutes West, reports a fire on board. Smoke is billowing from the engine room and they are unable to contain it. All crew members are accounted for, but they are in immediate need of assistance. The weather is calm, with a slight breeze. Over.",SS Horizon,null,null,"37 degrees 48 minutes North, 122 degrees 15 minutes West","calm, slight breeze",5,fire,null
861,"MAYDAY, MAYDAY, MAYDAY! This is the motor yacht 'Seafarer', call sign ABC1234, MMSI 123456789. We are located at 37 degrees 45.6 minutes North, 122 degrees 30.2 minutes West. We have a person overboard; one crew member, John Smith, has fallen into the water. Current weather conditions are overcast with a light breeze, sea state moderate. There are five persons on board. Positioning a life buoy in the water, I repeat, a life buoy is deployed. Request immediate assistance, over.",Distress,formal,person_overboard,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]! This is the motor yacht 'Seafarer', call sign ABC1234, MMSI 123456789. We are located at 37 degrees 45.6 minutes North, 122 degrees 30.2 minutes West. We have a person overboard; one crew member, John Smith, has fallen into the water. Current weather conditions are overcast with a light breeze, sea state moderate. There are five persons on board. Positioning a life buoy in the water, I repeat, a life buoy is deployed. Request immediate assistance, over.",Seafarer,ABC1234,123456789,"37 degrees 45.6 minutes North, 122 degrees 30.2 minutes West","overcast with a light breeze, sea state moderate",5,person overboard,none reported
862,"MAYDAY, MAYDAY, MAYDAY. This is the vessel 'Ocean Explorer', call sign WXYZ123, MMSI 123456789. We are located at 37 degrees 45 minutes North, 122 degrees 30 minutes West, approximately 15 nautical miles off the coast of San Francisco. Weather conditions are fair but visibility is diminishing. We have a medical emergency on board; one crew member has suffered a severe allergic reaction and is unconscious. We require immediate medical assistance. Our current number of persons on board is 10. Please respond as soon as possible. Over.",Distress,formal,medical_issue,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the vessel 'Ocean Explorer', call sign WXYZ123, MMSI 123456789. We are located at 37 degrees 45 minutes North, 122 degrees 30 minutes West, approximately 15 nautical miles off the coast of San Francisco. Weather conditions are fair but visibility is diminishing. We have a medical emergency on board; one crew member has suffered a severe allergic reaction and is unconscious. We require immediate medical assistance. Our current number of persons on board is 10. Please respond as soon as possible. Over.",Ocean Explorer,WXYZ123,123456789,"37 degrees 45 minutes North, 122 degrees 30 minutes West","fair, visibility diminishing",10,medical emergency,"severe allergic reaction, unconscious"
